"Index","DJI.Open","DJI.High","DJI.Low","DJI.Close","DJI.Volume","DJI.Adjusted"
"2009-03-12",7170.060059,7170.060059,7170.060059,7170.060059,0,7170.060059
"2009-03-13",7223.97998,7223.97998,7223.97998,7223.97998,0,7223.97998
"2009-03-16",7216.970215,7216.970215,7216.970215,7216.970215,0,7216.970215
"2009-03-17",7395.700195,7395.700195,7395.700195,7395.700195,0,7395.700195
"2009-03-18",7486.580078,7486.580078,7486.580078,7486.580078,0,7486.580078
"2009-03-19",7400.799805,7400.799805,7400.799805,7400.799805,0,7400.799805
"2009-03-20",7278.379883,7278.379883,7278.379883,7278.379883,0,7278.379883
"2009-03-23",7775.859863,7775.859863,7775.859863,7775.859863,0,7775.859863
"2009-03-24",NA,NA,NA,NA,NA,NA
"2009-03-25",7749.810059,7749.810059,7749.810059,7749.810059,0,7749.810059
"2009-03-26",NA,NA,NA,NA,NA,NA
"2009-03-27",7776.180176,7776.180176,7776.180176,7776.180176,0,7776.180176
"2009-03-30",NA,NA,NA,NA,NA,NA
"2009-03-31",7608.919922,7608.919922,7608.919922,7608.919922,0,7608.919922
"2009-04-01",7761.600098,7761.600098,7761.600098,7761.600098,0,7761.600098
"2009-04-02",7978.080078,7978.080078,7978.080078,7978.080078,0,7978.080078
"2009-04-03",8017.589844,8017.589844,8017.589844,8017.589844,0,8017.589844
"2009-04-06",7975.850098,7975.850098,7975.850098,7975.850098,0,7975.850098
"2009-04-07",7789.560059,7789.560059,7789.560059,7789.560059,0,7789.560059
"2009-04-08",7837.109863,7837.109863,7837.109863,7837.109863,0,7837.109863
"2009-04-09",8083.379883,8083.379883,8083.379883,8083.379883,0,8083.379883
"2009-04-13",8057.810059,8057.810059,8057.810059,8057.810059,0,8057.810059
"2009-04-14",7920.180176,7920.180176,7920.180176,7920.180176,0,7920.180176
"2009-04-15",8029.620117,8029.620117,8029.620117,8029.620117,0,8029.620117
"2009-04-16",8125.430176,8125.430176,8125.430176,8125.430176,0,8125.430176
"2009-04-17",8131.330078,8131.330078,8131.330078,8131.330078,0,8131.330078
"2009-04-20",7841.72998,7841.72998,7841.72998,7841.72998,0,7841.72998
"2009-04-21",7969.560059,7969.560059,7969.560059,7969.560059,0,7969.560059
"2009-04-22",NA,NA,NA,NA,NA,NA
"2009-04-23",NA,NA,NA,NA,NA,NA
"2009-04-24",NA,NA,NA,NA,NA,NA
"2009-04-27",NA,NA,NA,NA,NA,NA
"2009-04-28",8016.950195,8016.950195,8016.950195,8016.950195,0,8016.950195
"2009-04-29",NA,NA,NA,NA,NA,NA
"2009-04-30",8168.120117,8168.120117,8168.120117,8168.120117,0,8168.120117
"2009-05-01",NA,NA,NA,NA,NA,NA
"2009-05-04",8426.740234,8426.740234,8426.740234,8426.740234,0,8426.740234
"2009-05-05",NA,NA,NA,NA,NA,NA
"2009-05-06",NA,NA,NA,NA,NA,NA
"2009-05-07",NA,NA,NA,NA,NA,NA
"2009-05-08",8574.650391,8574.650391,8574.650391,8574.650391,0,8574.650391
"2009-05-11",8418.769531,8418.769531,8418.769531,8418.769531,0,8418.769531
"2009-05-12",NA,NA,NA,NA,NA,NA
"2009-05-13",8284.889648,8284.889648,8284.889648,8284.889648,0,8284.889648
"2009-05-14",NA,NA,NA,NA,NA,NA
"2009-05-15",8268.639648,8268.639648,8268.639648,8268.639648,0,8268.639648
"2009-05-18",8504.080078,8504.080078,8504.080078,8504.080078,0,8504.080078
"2009-05-19",8474.849609,8474.849609,8474.849609,8474.849609,0,8474.849609
"2009-05-20",8422.040039,8422.040039,8422.040039,8422.040039,0,8422.040039
"2009-05-21",NA,NA,NA,NA,NA,NA
"2009-05-22",NA,NA,NA,NA,NA,NA
"2009-05-26",8473.490234,8473.490234,8473.490234,8473.490234,0,8473.490234
"2009-05-27",8300.019531,8300.019531,8300.019531,8300.019531,0,8300.019531
"2009-05-28",8403.799805,8403.799805,8403.799805,8403.799805,0,8403.799805
"2009-05-29",NA,NA,NA,NA,NA,NA
"2009-06-01",8721.44043,8721.44043,8721.44043,8721.44043,0,8721.44043
"2009-06-02",8740.870117,8740.870117,8740.870117,8740.870117,0,8740.870117
"2009-06-03",NA,NA,NA,NA,NA,NA
"2009-06-04",8750.240234,8750.240234,8750.240234,8750.240234,0,8750.240234
"2009-06-05",NA,NA,NA,NA,NA,NA
"2009-06-08",8764.490234,8764.490234,8764.490234,8764.490234,0,8764.490234
"2009-06-09",8763.05957,8763.05957,8763.05957,8763.05957,0,8763.05957
"2009-06-10",8739.019531,8739.019531,8739.019531,8739.019531,0,8739.019531
"2009-06-11",NA,NA,NA,NA,NA,NA
"2009-06-12",8799.259766,8799.259766,8799.259766,8799.259766,0,8799.259766
"2009-06-15",8612.129883,8612.129883,8612.129883,8612.129883,0,8612.129883
"2009-06-16",8504.669922,8504.669922,8504.669922,8504.669922,0,8504.669922
"2009-06-17",NA,NA,NA,NA,NA,NA
"2009-06-18",NA,NA,NA,NA,NA,NA
"2009-06-19",8539.730469,8539.730469,8539.730469,8539.730469,0,8539.730469
"2009-06-22",8339.009766,8339.009766,8339.009766,8339.009766,0,8339.009766
"2009-06-23",8322.910156,8322.910156,8322.910156,8322.910156,0,8322.910156
